question,transcript_a,transcript_b,P_same_tier,within_q_diff_mean,within_q_diff_hdi_lo,within_q_diff_hdi_hi
Internal Temperature of Stars,7,8,0.877875,-0.1170598036783656,-0.4229514112174737,0.1381725204987691
Database deletion,15,16,0.814375,-0.08396895597327472,-0.3905248702282041,0.2032729202938794
Large Linear Structure,9,10,0.528375,-0.003333848315260344,-0.3067624876307333,0.26264905978673736
Little Red Dots,11,12,0.39475,-0.05505183827525326,-0.3166940071240968,0.20328008883688936
Prefix-sum,19,20,0.373125,-0.05631677704047081,-0.3595702217891609,0.23440719923996756
Early Universe Galaxies,3,4,0.363125,-0.03483565084372296,-0.3128816518639711,0.23593213232988988
ORM library,17,18,0.350625,-0.05081313214192912,-0.3287477727142125,0.19845973006715273
Graviational Lens Modelling,5,6,0.350125,-0.07397909414210883,-0.3620851705625921,0.18664809726505843
Bergs,1,2,0.321125,0.10299539263999634,-0.1583927881020475,0.42756363329003166
Rust,13,14,0.266375,0.13459451734043115,-0.14369781574301643,0.4557556554234921
Probability puzzle,21,22,0.2445,-0.1688931285714345,-0.5341741476405675,0.10927955221247797
Switch,23,24,0.185375,0.23534021865505886,-0.06621456486527744,0.588598974978531
