transcript,question,domain,delta_mean,delta_hdi_lo,delta_hdi_hi,P_tier1,P_tier2,P_tier3,modal_tier
7,Internal Temperature of Stars,brainteasers,-0.44622214488537343,-0.8512046524573718,-0.03055913312984898,0.996,0.004,0.0,1
8,Internal Temperature of Stars,brainteasers,-0.3111853864843298,-0.7298290569442433,0.06857768065489434,0.965625,0.03375,0.000625,1
2,Bergs,brainteasers,-0.18894292400250015,-0.5892703745257554,0.2154616641652362,0.87625,0.118,0.00575,1
14,Rust,coding,-0.14685312008599982,-0.6073981276721967,0.29821232745285386,0.80275,0.1825,0.01475,1
21,Probability puzzle,brainteasers,-0.014465187979742767,-0.4429794867949759,0.41928160209841725,0.51825,0.380625,0.101125,1
1,Bergs,brainteasers,-0.005567392933842457,-0.4160133147303905,0.4124687088033304,0.50925,0.4075,0.08325,1
11,Little Red Dots,astrophysics,0.02044601978082928,-0.4107722710622128,0.48808500477044503,0.42375,0.475125,0.101125,2
24,Switch,brainteasers,0.023613487562226834,-0.39790687844885153,0.46698159624239544,0.43,0.428125,0.141875,1
10,Large Linear Structure,astrophysics,0.034537114698851575,-0.4118598102839993,0.46713692329176026,0.3965,0.48525,0.11825,2
12,Little Red Dots,astrophysics,0.04944985999602423,-0.38865045536236226,0.49990414802685024,0.36025,0.506875,0.132875,2
9,Large Linear Structure,astrophysics,0.05033615234910695,-0.3866569411233277,0.4874297368160256,0.355,0.51075,0.13425,2
3,Early Universe Galaxies,astrophysics,0.0884643709886741,-0.361420545615616,0.5021294444762574,0.264875,0.540375,0.19475,2
13,Rust,coding,0.09458517034558264,-0.3651293990222934,0.5320014562412954,0.272625,0.510875,0.2165,2
5,Graviational Lens Modelling,astrophysics,0.09878374075270399,-0.3457937850535292,0.549834913576487,0.25225,0.5325,0.21525,2
19,Prefix-sum,coding,0.11564672555496576,-0.33657310907853677,0.5243292782298096,0.217125,0.539875,0.243,2
18,ORM library,coding,0.17587607192886956,-0.26948539304888114,0.611514031611986,0.12725,0.4815,0.39125,2
4,Early Universe Galaxies,astrophysics,0.22940575968339938,-0.1960182413087699,0.6477373589131284,0.062,0.43275,0.50525,3
6,Graviational Lens Modelling,astrophysics,0.2526575037491011,-0.1960327914143135,0.6991445573971264,0.05775,0.376875,0.565375,3
17,ORM library,coding,0.27742311605597486,-0.1636351215293273,0.6930431753737649,0.040625,0.322625,0.63675,3
20,Prefix-sum,coding,0.2790154170461373,-0.1779046310209322,0.7185174259683949,0.045875,0.3285,0.625625,3
15,Database deletion,coding,0.37296485826866066,-0.07794395450122635,0.808712610785213,0.01075,0.17625,0.813,3
23,Switch,brainteasers,0.4426484483479021,0.019133094963803027,0.8660873671934725,0.00775,0.099375,0.892875,3
22,Probability puzzle,brainteasers,0.4617625855775851,0.046004940226957725,0.9280744958012823,0.00675,0.09575,0.8975,3
16,Database deletion,coding,0.5302439572063604,0.08583389837056443,0.983243675637236,0.00075,0.03025,0.969,3
